,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,20609.695,21171.395,21346.723,20743.17,210920.7,-466.33334,-101.61725,619.78,22137.95,21773.697,21240.725,-690.4976,21072.666,-1178.0018,-6.16592,-0.051615037,-372774.9,75.64689,2.0474494
1,20907.95,21357.914,21559.2,20994.738,206512.34,-431.16272,-88.517555,596.3923,22226.129,21939.742,21470.193,-570.52484,21257.373,-1018.37634,-5.3341503,-0.0445312,-325783.7,75.51319,1.9845959
2,21019.984,21450.402,21672.236,21098.275,206436.16,-390.75247,-54.50868,603.8014,22105.012,21900.041,21498.38,-311.02576,21305.695,-639.29224,-3.6087434,-0.030662855,-245469.06,74.99815,2.016431
3,20703.52,21212.2,21401.13,20811.295,212516.06,-438.0163,-74.796814,628.1785,22028.053,21712.77,21242.986,-479.95868,21092.693,-882.61127,-4.7426867,-0.04094607,-325809.22,75.14654,2.0590048
4,20997.014,21424.943,21650.342,21073.637,208727.66,-381.17258,-40.594143,614.7987,22007.549,21818.213,21441.398,-209.99838,21267.186,-495.47287,-2.9193099,-0.025801945,-226402.95,74.76898,2.037791
5,21178.014,21549.63,21792.88,21232.934,205482.83,-355.1636,-31.043266,598.8587,22060.488,21932.197,21594.52,-124.48847,21383.37,-380.80954,-2.344437,-0.020539284,-184233.44,74.735115,2.0020757
6,21463.69,21752.31,22023.783,21481.45,201643.28,-300.40668,3.9126122,586.0357,22048.777,22036.223,21783.93,145.40004,21555.371,-7.322466,-0.51332915,-0.005669699,-91107.46,74.35947,1.9797931
7,21507.934,21777.602,22051.125,21517.016,200873.89,-297.70923,3.4662657,581.0679,22080.031,22069.809,21821.291,143.61717,21587.092,-11.889699,-0.50786465,-0.0057220496,-92029.336,74.369225,1.9623545
8,20761.307,21238.418,21449.346,20860.826,214551.1,-401.22156,-45.147404,636.96906,21863.791,21638.297,21246.635,-237.02379,21074.486,-547.92505,-3.1620095,-0.027921949,-246588.62,74.80039,2.0796435
9,21011.83,21394.262,21618.742,21070.709,209208.08,-385.98364,-50.00312,607.1149,22040.62,21852.4,21480.621,-252.65312,21250.055,-588.2843,-3.2552614,-0.027931292,-236827.22,74.94938,2.0040352
10,21328.486,21618.55,21879.914,21344.79,206789.55,-317.59555,2.58089,603.13293,21954.955,21896.701,21638.51,127.27066,21436.715,-39.849003,-0.590198,-0.007923698,-128754.445,74.27437,1.9949672
11,21681.566,21860.602,22151.168,21651.875,200181.47,-269.85297,18.885723,569.8514,22091.652,22132.057,21938.105,268.8545,21676.81,145.10855,0.41300386,0.00078655017,-60898.758,74.222015,1.9053717
12,22549.701,22539.844,22892.219,22422.572,183071.45,-120.662865,98.35549,509.37442,22336.684,22610.342,22581.635,847.5152,22341.61,940.00745,4.6859555,0.033540074,148496.08,73.54311,1.7235445
