,close,open,high,low,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,HIBOR
0,21932.306512500014,21646.20360000001,21929.630375000008,21459.179675000014,272528.48,-702.2826196000002,-186.9559575,578.5,23233.30243,22793.47797,22289.66071,-1392.3806,21909.45156,-1786.9102,-7.8723725889999985,-0.06820145400000001,-507305.2571,72.73,1.6
1,21932.306512500014,21646.20360000001,21929.630375000008,21459.179675000014,179634.42,-723.8917704,-133.74266709999998,291.2715,23123.37093,22663.03438,22152.2818,-1031.8496,21703.08164,-1634.1699,-8.15397729,-0.05811142900000001,-398848.614,72.71,1.6
2,21932.306512500014,21646.20360000001,21929.630375000008,21459.179675000014,196457.92,-693.5448296,-77.44577669,513.5117,23033.5075,22591.6083,22069.02789,-129.2891,21677.22382,-1412.7403,-3.880007261,-0.035302742000000005,-264228.1697,72.71,1.6
3,21932.306512500014,21646.20360000001,21929.630375000008,21459.179675000014,201519.68,-717.0873138999998,-108.6341229,814.2207,22911.84674,22461.05613,21919.61285,-881.1993,21500.98396,-1576.7989,-6.703666321,-0.055005697,-518512.8442,72.96,1.6
4,21932.306512500014,21646.20360000001,21929.630375000008,21459.179675000014,269124.14,-680.6936783,-48.90903703,733.3594,22806.95026,22398.65178,21854.59195,-296.1993,21521.25622,-939.7891,-4.0024299580000005,-0.036639874,-365068.5076,72.59,1.6
5,21932.306512500014,21646.20360000001,21929.630375000008,21459.179675000014,251210.84,-643.1490888,-39.70867976,521.7911,22691.197180000006,22343.71155,21773.25389,117.3301,21637.05622,-893.1816,-2.82436609,-0.028228532,-121585.1994,72.49,1.6
6,21932.306512500014,21646.20360000001,21929.630375000008,21459.179675000014,216373.24,-577.4654408,11.42154294,464.3418,22606.91991,22328.55338,21746.14198,941.7715,21789.20232,-271.4687,-1.990748473,0.00640992,-968.1786386,71.91,1.6
7,21932.306512500014,21646.20360000001,21929.630375000008,21459.179675000014,149491.95,-532.9915156000002,25.15906516,488.6895,22525.81263,22298.63981,21743.35311,590.6406,21809.4824,-620.6990000000002,-1.96479999,-0.003961128,30452.53142,71.96,1.6
8,21272.872425000012,21617.239750000015,21720.472200000015,21353.850075000013,214014.8,-559.0572241,-108.8039991,937.2207,22407.33111,22191.60454,21650.62908,-738.291,21800.2742,-1280.9004,-3.93596924,-0.024404199,67780.8984,71.7,1.6
9,21272.872425000012,21617.239750000015,21720.472200000015,21353.850075000013,178406.52,-569.2207197,-123.2292985,345.6407,22285.0742,22099.40411,21602.53416,2.6895,21683.8121,-818.8496,-3.974795993,-0.00090757,149545.9805,72.06,1.6
10,21272.872425000012,21617.239750000015,21720.472200000015,21353.850075000013,228994.76,-529.915588,18.46476521,669.0293,22221.96655,22064.67236,21651.7283,-71.0898,21666.400380000006,-367.2891,-1.661790504,0.01430432,-75608.34881,72.05,1.6
11,21272.872425000012,21617.239750000015,21720.472200000015,21353.850075000013,184207.64,-481.9563289,45.79969026,333.7891,22166.06617,22046.53113,21696.76522,52.4102,21604.32812,169.7403,0.7820530179999999,-0.001773874,-37416.21098,72.17,1.6
12,22591.740600000016,22796.382300000012,22959.965325000016,22695.452150000016,257157.68,-386.34229260000006,202.1109465,771.33,22147.18313,22092.85201,21758.74921,348.3496,21708.01602,1290.1211,6.0732217839999985,0.05822996,-101266.5551,71.84,1.6
13,22591.740600000016,22796.382300000012,22959.965325000016,22695.452150000016,150588.65,-307.460606,159.87849719999997,297.5996,22144.69004,22134.2452,21889.41621,513.0196,21978.55822,1103.6602,5.151556466000001,0.032035096,-107861.5765,72.43,1.6
14,22591.740600000016,22796.382300000012,22959.965325000016,22695.452150000016,258674.56,-193.7276299,191.1743043,607.0703,22148.72317,22229.5124,22022.29024,1959.7813,22360.76838,1221.4903,5.57425696,0.056745061,36562.55938,72.81,1.6
15,22591.740600000016,22796.382300000012,22959.965325000016,22695.452150000016,258970.86,-106.1486095,160.8278877,306.4317,22149.86665,22311.24653,22148.88438,1864.2207,22631.36838,1866.9102,8.797544279,0.039119059,-132990.7388,72.85,1.6
16,22554.361312500012,22586.116212500012,22677.608400000012,22361.371587500016,191765.26,-64.00459057,81.22167907,545.6406,22127.36319,22352.1479,22204.50039,1005.9902,22804.67266,934.9004,4.287391198,0.031936117,-113895.7432,72.81,1.6
17,22554.361312500012,22586.116212500012,22677.608400000012,22361.371587500016,108176.44,-34.52418155,69.34850898,242.7988,22123.11709,22384.05866,22271.77539,813.0214,22835.53476,865.4316,3.965907583,0.066664933,-293883.2551,72.69,1.6
18,22554.361312500012,22586.116212500012,22677.608400000012,22361.371587500016,140323.27,-45.27260317,-0.938336823,598.1211,22104.36326,22372.05307,22380.09844,-274.9004,22781.63866,73.4492,0.33108265600000003,0.046477671,-147904.3208,73.3,1.6
19,22554.361312500012,22586.116212500012,22677.608400000012,22361.371587500016,196874.8,-18.66843433,53.19288134,493.0391,22103.42629,22402.39084,22526.8084,163.1191,22692.84842,676.1387,3.071338894,0.042126648,-29275.435230000006,73.3,1.6
20,22554.361312500012,22586.116212500012,22677.608400000012,22361.371587500016,157266.21,5.6188026220000005,57.92734375,188.1602,22114.00629,22433.69643,22626.44629,-403.4512,22621.5242,1556.3301,7.349926997000001,0.037697697,-36042.21084,73.2,1.6
21,22554.361312500012,22586.116212500012,22677.608400000012,22361.371587500016,180020.6,35.07326117,37.58888507,673.959,22122.75397,22474.54435,22725.2873,-225.1211,22645.90194,1639.0996,7.723040968999999,0.014420897,-36408.24953,73.37,1.61
