,close,open,high,low,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,HIBOR
909,20806.25,21173.74,21173.74,20789.36,394057.52,289.8147626,-273.31744910000003,475.95,21119.62308,21135.8617,21382.557999999997,-411.61,21340.372000000003,-685.37,-3.1890104139999997,-0.034480502,-232303.7311,79.83,0.03
910,20627.78,20521.96,20732.87,20521.96,221184.96,216.56730589999998,-278.0270613,284.29,21128.74962,21087.47297,21290.408,-940.95,21129.912,-797.01,-3.720036462,-0.035228023,-228600.2801,79.68,0.03
911,20900.73,20722.95,20909.71,20681.09,159231.98,178.4854831,-143.0389986,281.93,21150.57115,21069.68792,21242.382,-779.35,21032.466,-577.99,-2.690989035,-0.023643355,-185450.6799,79.13,0.03
912,21086.0,20930.93,21209.79,20917.68,139987.99,161.3946477,-58.08362934,309.06,21163.9,21071.24145,21210.296000000002,-301.96,20937.214,-463.28,-2.149863012,-0.0062145759999999994,40770.6869,79.97,0.03
913,21134.18,21073.59,21170.55,20924.36,113019.08,150.0085556,-47.71185231,246.19,21178.40769,21077.2356,21201.928,-428.08,20910.988,-246.81,-1.154343181,-0.020147222,139695.3597,79.9,0.03
914,21339.7,21279.41,21427.12,21261.32,136078.35,155.77308680000002,26.72252153,292.94,21202.629230000002,21102.23221,21179.025,74.39,21017.678,-67.16,-0.31373120600000004,-0.015700127,65323.62896,80.13,0.03
915,21307.89,21564.21,21638.32,21263.02,192452.32,155.9767157,42.6001381,375.3,21226.04077,21121.81867,21141.806,501.64,21153.7,90.03,0.42431234799999995,-0.003743695,-139146.9093,80.54,0.03
916,21353.53,21323.06,21368.48,21162.17,132081.87,157.9995393,15.13372836,206.31,21238.92808,21143.88641,21138.362999999998,725.75,21244.26,-215.2,-0.997740711,-0.00968034,15802.879640000001,80.25,0.03
917,21317.85,21350.25,21438.62,21253.39,153700.97,154.93754019999997,25.74421766,185.23,21250.76808,21160.45437,21113.922000000002,417.12,21290.63,-362.23,-1.6707964180000001,0.002464601,-97453.58956000001,79.78,0.03
918,21115.29,21454.01,21454.01,21075.38,135063.3,134.6142357,-2.89863454,378.63,21263.51538,21156.153,21098.92,29.29,21286.852000000003,-272.67,-1.274876145,0.01463584,-281706.8118,79.47,0.03
919,20888.24,21183.04,21183.04,20786.69,170792.52,99.04510263,-66.17705129999999,396.35,21263.54769,21130.63748,21107.119,-245.94,21196.56,-674.02,-3.1259246480000002,0.012469217,-569991.838,79.62,0.03
920,20856.63,20948.13,20993.48,20756.03,151232.03,67.52723370000001,-77.97403667,237.45,21261.19385,21104.541530000002,21130.004,-483.07,21106.307999999997,-408.68,-1.921815389,-0.002109974,-638677.2439,79.61,0.03
921,20901.56,20886.12,20978.49,20801.79,117360.62,45.64836506,-62.08154954,176.7,21243.360380000002,21085.20995,21130.087000000003,-406.33,21015.914,95.31,0.458083509,-0.008747036,-616888.4665,79.68,0.03
922,20668.8,20740.56,20742.7,20596.89,157109.05,9.418842729,-115.0792565,304.67,21219.957309999998,21045.55186,21088.367000000002,-684.73,20886.104,41.02,0.198858045,-0.022020252999999997,-524517.1120000001,79.32,0.03
923,20668.86,20672.37,20776.36,20580.72,143306.17,-19.06866157,-99.40374625,195.64,21188.31269,21009.67645,21041.835,-648.99,20796.818,-231.87,-1.109387088,-0.031436242999999996,-553621.9532,78.92,0.03
924,21046.91,20921.8,21063.38,20896.19,153109.31,-11.01278989,-14.09948371,394.52,21173.77885,21013.2225,21012.556,-68.38,20828.552,-39.09,-0.185383667,-0.012248045,-547283.9567,79.15,0.03
925,20885.42,20959.98,20989.58,20798.09,150276.23,-17.45810079,-53.07970841,248.82,21150.959619999998,21001.05083,20970.308999999997,-2.82,20834.31,-248.76,-1.177050636,-0.021921902000000004,-632541.8141,79.17,0.03
926,20609.39,20720.34,20720.34,20527.26,167152.49,-44.32838026,-118.71859620000001,358.16,21114.81,20963.7498,20895.895,-247.24,20775.876,-730.31,-3.42230678,-0.033233183,-703376.0955,79.11,0.03
927,20555.58,20380.06,20566.09,20374.03,190526.76,-69.16796240000001,-128.1235627,235.36,21083.06346,20924.876490000002,20819.668,-345.98,20753.232,-752.31,-3.530663993,-0.026507332,-477768.7382,78.95,0.03
928,20522.26,20662.97,20662.97,20417.69,107339.25,-90.49894029999999,-105.68219540000001,245.28,21049.040380000002,20886.532059999998,20760.365,-379.3,20723.912,-831.27,-3.6870379939999998,-0.017520863,-677943.3174,78.88,0.0267
929,20790.98,20704.15,20816.09,20588.2,137178.17,-84.74356468,-43.23878031,293.83,21032.621919999998,20877.43186,20750.639,-110.58,20672.726000000002,-526.87,-2.4259089,-0.00314768,-655240.8639,79.36,0.0267
930,20593.0,20479.27,20670.2,20404.15,140687.82,-95.06190499,-84.92008114,386.83,20995.09385,20850.343119999998,20724.276,-75.8,20614.242,-522.29,-3.56161253,-0.014762533999999999,-508560.83700000006,80.06,0.0267
931,20356.24,20387.43,20472.96,20297.39,124382.36,-120.9495858,-130.90727009999998,295.61,20944.176919999998,20803.28568,20669.744,-529.18,20563.612,-532.0,-2.546887627,-0.01512231,-433187.7482,79.86,0.0267
932,20140.67,20092.96,20188.56,20035.68,129142.0,-157.0500812,-194.0197647,320.56,20896.204230000003,20740.17942,20616.931,-468.72,20480.63,-715.96,-3.43276934,-0.025554868999999997,-301759.8338,79.75,0.0267
933,20327.32,20179.72,20360.48,20138.02,153583.62,-168.6547419,-117.687453,222.46,20848.70654,20700.859480000003,20582.777,-228.26,20441.642,-574.24,-2.7473547430000003,-0.034189817000000004,176883.6534,79.34,0.0267
934,20701.04,20640.5,20719.04,20574.35,207105.16,-146.0122995,20.71326865,391.72,20827.00385,20700.876669999998,20548.19,108.04,20423.654,32.24,0.155983898,-0.008828168,152563.6296,79.88,0.0267
935,20610.64,20516.09,20625.45,20514.09,503628.32,-133.8199324,-0.880981803,186.95,20819.48038,20692.2827,20520.712,17.64,20427.182,-58.22,-0.281679783,6.0599999999999996e-05,456345.9826,79.54,0.0267
936,20562.31,20678.04,20678.04,20392.57,148910.83,-126.59787920000001,-13.33800951,285.47,20816.96231,20679.90435,20516.004,-30.69,20468.396,-484.6,-2.302475755,0.000327298,321663.0342,79.55,0.0267
937,20780.73,20800.21,20862.32,20715.94,148498.54,-102.0730468,79.27718215,300.01,20812.34692,20689.50679,20538.519,424.49,20596.408,-104.69,-0.501258773,0.012437965,274085.8945,79.58,0.0267
938,20995.01,20767.46,20995.01,20767.46,111969.33,-64.60164774,138.78332859999998,227.55,20808.84731,20718.60233,20585.793999999998,854.34,20729.946,385.62,1.871088858,0.009718023000000001,336572.9343,79.57,0.0267
939,21010.64,20933.27,21076.43,20881.62,107927.15,-33.26067525,157.5173155,194.81,20804.09577,20746.41545,20607.76,683.32,20791.866,455.06,2.2138027730000003,0.019877548000000002,510876.7293,79.14,0.0267
940,20624.39,20970.96,20970.96,20624.39,119205.41,-39.13870906,53.68551559,386.25,20776.58385,20734.79397,20610.898999999998,-76.65,20794.616,102.13,0.152430438,0.013001597,372164.0992,79.36,0.0267
941,20677.16,20606.17,20771.79,20534.13,128055.45,-39.08840837,20.55639699,237.66,20752.325,20729.30502,20642.991,66.52,20817.586,-113.82,0.408682562,0.02594602,437299.7938,79.2,0.0267
942,20646.29,20751.54,20751.82,20584.98,106060.88,-41.06611116,17.42235574,166.84,20725.12346,20721.398830000002,20693.553,83.98,20790.698,53.29,0.258777254,0.015449265,491218.7051,79.05,0.0267
943,20809.71,20753.18,20826.91,20674.94,111307.78,-29.11125025,57.01815048,180.62,20705.57962,20729.809419999998,20741.792,28.98,20753.638,453.47,2.227670729,0.005222081,659656.3849,79.14,0.0267
944,20741.45,20916.08,20929.96,20648.77,154982.47,-24.85839626,51.638643,281.19,20691.20115,20730.91805,20745.833,-253.56,20699.8,600.78,2.982919635,0.006306695,621682.6009,78.71,0.0267
945,21094.21,20889.77,21105.57,20889.77,135308.72,6.897297274,130.7488049,364.12,20699.12308,20765.51728,20794.19,99.2,20793.764,766.89,4.734400593,0.02521545,739613.5488,78.76,0.0267
946,21309.08,21245.48,21385.3,21237.17,155018.26,48.83913925,207.8763616,291.09,20716.525,20817.28516,20868.867,298.44,20920.148,608.04,4.82975621,0.024794595,883491.8383,79.16,0.05
947,21249.53,21209.44,21256.81,21153.63,711236.96,76.39255802,138.3837293,155.45,20729.90846,20858.45133,20915.747,625.14,21040.796000000002,638.89,2.649577026,0.011977676999999999,1162409.972,79.21,0.05
948,21086.0,21107.19,21170.64,21061.14,136740.42,84.0642957,81.16247548,188.39,20745.95462,20880.12263,20924.846,408.84,21096.054,523.69,2.306381558,0.003573935,1021375.24,79.51,0.05
949,20536.65,20658.41,20674.45,20477.86,220104.16,45.29412671,-99.81084541,608.14,20740.869619999998,20847.41096,20877.447,-109.64,21055.093999999997,-244.08,-0.124791427,-0.004254186,943564.2019,79.56,0.05
950,20484.75,20647.38,20647.38,20399.38,148044.53,10.26229485,-115.3048961,248.0,20719.24808,20812.87182,20863.483,-324.96,20933.202,-510.26,-1.424300301,-0.009305437,942532.8294,79.87,0.05
951,20330.64,20361.55,20371.66,20257.61,179787.94,-29.5949215,-146.4737942,227.14,20697.91038,20766.94498,20828.831000000002,-410.81,20737.514,-680.0,-3.164418593,-0.015288461000000001,719687.6345,80.13,0.05
