Date,High,Low,Open,Close,Volume,Adj Close
2018-01-04,136.98500061035156,136.41000366210938,136.75,136.42999267578125,587634.0,135.10597229003906
2018-03-05,137.4499969482422,135.47999572753906,135.75,137.00999450683594,1433432.0,135.6803436279297
2018-03-13,137.02999877929688,135.94500732421875,136.97000122070312,136.0399932861328,897067.0,134.71975708007812
2018-03-14,89.41000366210938,88.0,89.41000366210938,88.0,40.0,87.14598846435547
2018-03-15,88.9000015258789,88.9000015258789,88.9000015258789,88.9000015258789,7.0,88.0372543334961
2018-03-16,136.60000610351562,135.3800048828125,135.60000610351562,135.8699951171875,1927028.0,134.55140686035156
2018-03-19,136.5500030517578,134.97999572753906,135.6999969482422,136.3800048828125,1049522.0,135.0564727783203
2018-03-20,137.0,136.00999450683594,136.47000122070312,136.52000427246094,1252067.0,135.1951141357422
2018-03-21,136.92999267578125,135.9199981689453,136.67999267578125,136.05999755859375,1015819.0,134.7395782470703
2018-03-22,136.08999633789062,134.50999450683594,135.77999877929688,134.97000122070312,1599941.0,133.66015625
2018-03-23,135.5500030517578,134.39999389648438,134.89999389648438,134.5399932861328,1240146.0,133.23431396484375
2018-03-26,136.36000061035156,134.7899932861328,135.1300048828125,136.07000732421875,820717.0,134.74948120117188
2018-03-27,136.64999389648438,135.38999938964844,135.99000549316406,135.97000122070312,1997387.0,134.65045166015625
2018-03-28,136.42999267578125,134.94000244140625,136.1999969482422,135.3000030517578,1289044.0,133.98696899414062
2018-03-29,135.8300018310547,134.85000610351562,135.5500030517578,134.85000610351562,1299280.0,133.54132080078125
2018-04-02,135.2899932861328,133.7100067138672,134.89999389648438,134.41000366210938,2145657.0,133.1055908203125
2018-04-03,135.44000244140625,133.7100067138672,134.44000244140625,135.3800048828125,1124356.0,134.06617736816406
2018-04-04,135.00999450683594,133.9600067138672,134.47999572753906,135.00999450683594,1291120.0,133.6997528076172
2018-04-05,135.64999389648438,134.99000549316406,135.25,135.30999755859375,1413827.0,133.99684143066406
2018-04-06,135.46499633789062,133.7100067138672,135.00999450683594,133.89999389648438,1252101.0,132.6005401611328
2018-04-09,134.88999938964844,133.7899932861328,134.0,133.8699951171875,1084004.0,132.57081604003906
2018-04-10,134.72999572753906,133.75999450683594,134.5,133.85000610351562,1691839.0,132.551025390625
2018-04-11,134.0500030517578,133.50999450683594,133.60000610351562,133.94000244140625,901975.0,132.64015197753906
2018-04-12,134.52000427246094,133.74000549316406,134.1999969482422,133.9600067138672,960305.0,132.65997314453125
2018-04-13,134.4199981689453,133.41000366210938,134.1999969482422,133.77000427246094,772878.0,132.47181701660156
2018-04-16,134.82000732421875,133.7310028076172,133.97000122070312,134.66000366210938,1045716.0,133.35316467285156
2018-04-17,135.3699951171875,134.57000732421875,134.89999389648438,135.02000427246094,2434224.0,133.7096710205078
2018-04-18,135.42999267578125,134.8000030517578,135.25999450683594,135.00999450683594,1668797.0,133.6997528076172
2018-04-19,135.27999877929688,132.88999938964844,135.07000732421875,133.36000061035156,1731128.0,132.06578063964844
2018-04-20,134.13999938964844,132.63999938964844,133.36000061035156,133.0399932861328,1794643.0,131.74888610839844
2018-04-23,133.42999267578125,131.97999572753906,133.25,133.02999877929688,1448729.0,131.7389678955078
2018-04-24,134.4499969482422,132.52000427246094,133.32000732421875,133.02999877929688,2234629.0,131.7389678955078
2018-04-25,133.3300018310547,132.09500122070312,133.3300018310547,133.3000030517578,1841263.0,132.00636291503906
2018-04-26,133.83999633789062,132.72000122070312,133.1300048828125,132.9600067138672,991332.0,131.66966247558594
2018-04-27,133.38999938964844,131.7899932861328,133.07000732421875,133.0,1816657.0,131.7092742919922
2018-04-30,133.27000427246094,132.11000061035156,133.17999267578125,132.5399932861328,981557.0,131.25372314453125
2018-05-01,132.47999572753906,130.6300048828125,132.4199981689453,132.22999572753906,1067096.0,130.9467315673828
2018-05-02,132.66000366210938,131.55999755859375,132.27000427246094,131.74000549316406,1239324.0,130.4615020751953
2018-05-03,131.88999938964844,130.00999450683594,131.5,131.6199951171875,1170906.0,130.3426513671875
2018-05-04,132.91000366210938,131.0,131.1999969482422,132.5399932861328,2079040.0,131.25372314453125
2018-05-07,133.5500030517578,132.39999389648438,133.0800018310547,133.44000244140625,2065256.0,132.14500427246094
2018-05-08,133.52999877929688,132.64500427246094,133.10000610351562,133.3000030517578,1778402.0,132.00636291503906
2018-05-09,134.0399932861328,133.26499938964844,133.83999633789062,133.92999267578125,1014509.0,132.63023376464844
2018-05-10,134.3699951171875,133.6199951171875,134.08999633789062,134.3300018310547,632043.0,133.02638244628906
2018-05-11,134.60000610351562,133.8000030517578,134.2100067138672,134.3000030517578,803472.0,132.9966583251953
2018-05-14,135.89999389648438,134.00999450683594,134.07000732421875,135.19000244140625,1929634.0,134.20779418945312
2018-05-15,135.63999938964844,134.86000061035156,135.08999633789062,135.1999969482422,1457857.0,134.2177276611328
2018-05-16,135.6199951171875,135.0800018310547,135.35000610351562,135.0800018310547,1027447.0,134.09860229492188
2018-05-17,136.11000061035156,135.0,135.0,135.97999572753906,1277919.0,134.99205017089844
2018-05-18,89.0,83.7300033569336,83.7300033569336,89.0,1324.0,88.35338592529297
2018-05-21,137.61000061035156,136.39999389648438,136.39999389648438,137.47999572753906,2021047.0,136.48114013671875
2018-05-22,85.0,83.80000305175781,85.0,83.80000305175781,347.0,83.191162109375
2018-05-23,138.00999450683594,136.97000122070312,137.8000030517578,137.86000061035156,1713634.0,136.8583984375
2018-05-24,87.80000305175781,84.0999984741211,87.80000305175781,84.0999984741211,14.0,83.48898315429688
2018-05-25,138.33700561523438,137.6699981689453,137.7899932861328,138.10000610351562,997321.0,137.09666442871094
2018-05-29,138.17999267578125,137.30999755859375,137.77000427246094,137.69000244140625,915003.0,136.68963623046875
2018-05-30,88.48999786376953,88.48999786376953,88.48999786376953,88.48999786376953,199.0,87.84708404541016
2018-05-31,88.0,88.0,88.0,88.0,2.0,87.36064910888672
2018-06-01,138.25,137.52000427246094,137.8000030517578,138.25,1005385.0,137.2455596923828
