,close
1,21423.8203
2,21913.0605
3,21220.8105
4,21805.8105
5,21821.7793
6,22184.5508
7,22014.4609
8,21174.7695
9,21223.5
10,21734.7207
11,21874.1895
12,22532.9004
13,22527.4805
14,23134.5508
15,23087.7207
16,22740.7109
17,22687.2109
18,22258.0
19,22690.5996
20,22731.0996
21,22862.5996
22,22514.9199
23,21949.75
24,22104.1992
25,21885.2109
26,21859.3398
27,21640.8906
28,21293.3203
29,21392.7109
30,21160.5801
31,20930.6699
32,20484.3691
33,20931.2598
34,20392.0605
35,21104.7891
36,21056.6602
37,21464.7207
38,20972.2891
39,21261.8906
40,20906.3105
41,21042.4609
42,20585.0605
43,20389.4805
44,19933.2793
45,20794.2695
46,20491.1094
47,19999.7793
48,19388.7207
49,19352.9004
50,18300.6094
51,17637.1895
52,17632.4609
53,19327.7305
54,19632.1992
55,18872.8496
56,18961.9902
57,18934.4297
58,18682.0898
59,17880.6797
60,18016.2109
61,18211.1094
62,17682.4004
63,16803.7598
64,15431.7305
65,15943.2402
66,14796.8701
67,16312.1602
68,16832.8809
69,15998.2998
70,15230.5195
71,14554.21
72,15323.0098
73,15041.1699
74,14266.5996
75,13760.4902
76,12618.3799
77,11015.8398
78,12596.29
79,12702.0703
80,14329.8496
81,13968.6699
82,14344.3701
83,14384.3398
84,14840.1602
85,13790.04
86,14243.4297
87,14744.6299
88,14040.9004
89,13939.0898
90,13221.3496
91,13542.6602
92,13529.5303
93,12915.8896
94,12815.7998
95,12298.5596
96,12659.2002
97,12457.9404
98,12878.5996
99,13369.4502
100,13552.0596
101,13888.2402
102,14108.8398
103,13405.8496
104,13588.6602
105,13509.7803
106,13846.0898
107,15044.8701
108,14753.2197
109,15577.7402
110,15613.9004
111,14758.3896
112,15046.9502
113,15130.21
114,15460.5195
115,15497.8096
116,15127.5098
117,14622.3896
118,14220.79
119,14184.1396
120,14328.4805
121,14235.5
122,14387.4805
123,15042.8096
124,15563.3096
125,15509.5098
126,14987.46
127,14415.9102
128,14377.4404
129,13971.0
130,13668.0498
131,13704.6104
132,13242.96
133,13255.5098
134,13339.9902
135,12959.7695
136,12583.6299
137,12657.9902
138,12578.5996
139,13154.4297
140,13278.21
141,12861.4902
142,12776.8896
143,13063.8896
144,13178.9004
145,13655.04
146,13769.0596
147,13880.6396
148,13539.21
149,13228.2998
150,13554.6699
151,13455.8799
152,12945.4004
153,13016.0
154,13023.3604
155,12699.1699
156,13175.0996
157,12798.5195
158,13005.0801
159,12894.9404
160,12811.5703
161,12317.46
162,12033.8799
163,12331.1504
164,12211.2402
165,11921.52
166,11344.5801
167,11694.0498
168,11930.6602
169,12001.5303
170,12525.7998
171,12976.71
172,12878.0898
173,13117.1699
174,13130.9199
175,12833.5098
176,13447.4199
177,13910.3398
178,13622.1104
179,14108.9805
180,14119.5
181,13456.3301
182,13576.0195
