,Closing Price,Open Price,High price,Low Price
574,23601.24,23727.63,23727.63,23546.33
575,23164.58,23543.73,23708.67,23148.18
576,23210.86,23290.54,23290.54,23136.97
577,23096.32,23177.69,23222.35,22880.68
578,23652.94,23366.82,23656.65,23366.82
579,23671.42,23608.18,23724.87,23566.88
580,24144.67,23802.06,24163.84,23684.99
581,24535.63,24377.07,24550.08,24345.93
582,24876.82,24905.43,24931.85,24732.9
583,24964.37,24838.22,24988.57,24732.52
584,24710.6,24858.34,24963.26,24687.3
585,24500.61,24672.5,24692.54,24421.03
586,24700.3,24598.81,24887.58,24505.15
587,24222.58,24404.91,24608.66,24187.27
588,24027.18,24371.77,24382.14,24002.65
589,23693.02,24009.84,24085.23,23578.87
590,23214.46,23432.23,23618.24,23192.49
591,23637.39,23437.8,23671.51,23327.29
592,23605.71,23625.31,23686.42,23252.33
593,23524.02,23499.63,23592.77,23419.41
594,22896.14,23290.28,23322.17,22871.11
595,23023.86,23107.44,23166.69,22971.21
596,23054.68,23110.02,23283.22,23037.86
597,22877.25,22995.3,23107.67,22782.98
598,23166.22,22832.05,23187.75,22785.28
599,23007.99,23122.4,23199.44,22844.53
600,23249.8,22973.8,23325.79,22842.12
601,23448.78,23554.75,23575.38,23388.74
602,23320.52,23555.76,23611.04,23286.54
603,23237.69,23507.2,23612.25,23213.71
604,23428.15,23177.4,23475.29,23101.81
605,23092.52,23362.66,23374.37,22998.34
606,23171.8,23167.87,23269.36,23083.16
607,23162.91,23091.52,23202.29,22965.9
608,23317.61,23399.47,23490.18,23233.4
609,23431.19,23451.4,23453.42,23328.01
610,22975.35,23371.34,23371.34,22876.88
611,22668.78,22949.78,22992.07,22598.96
612,22714.85,22660.88,22732.62,22519.61
613,22639.08,22708.43,22716.78,22392.67
614,22993.86,22711.46,23025.47,22671.61
615,23045.19,23039.85,23160.44,22990.69
616,22902.97,23139.58,23151.38,22867.93
617,22833.8,22932.5,22948.25,22776.62
618,22621.73,22553.1504,22684.83,22529.2598
619,22969.3,22725.3809,22981.52,22663.8
620,22999.34,22987.84,23111.27,22890.56
621,23035.45,23079.84,23102.05,23012.5
622,23436.05,23135.64,23443.53,23057.52
623,23668.48,23477.31,23695.61,23408.09
624,23757.82,23650.18,23773.98,23579.74
625,23786.3,23861.22,23861.22,23698.38
626,23686.63,23744.03,23880.77,23654.04
627,23527.26,23715.47,23783.83,23481.8
628,23760.34,23606.76,23855.83,23512.22
629,24125.61,23951.99,24168.36,23857.17
630,24238.98,24347.34,24378.81,24208.45
631,24283.23,24273.62,24347.26,24187.9
632,24156.97,24276.47,24364.07,24098.03
633,24153.98,24149.44,24382.01,24104.34
634,24419.62,24321.25,24434.4,24243.88
635,24003.7,24248.32,24248.32,23963.86
636,23876.86,23913.19,24130.16,23840.29
637,23801.78,23970.3,23970.3,23751.72
638,23788.83,23891.68,23999.11,23769.46
639,23843.24,23802.88,23976.37,23662.18
640,23779.62,23771.12,24023.68,23734.7
641,23617.02,23763.74,23763.74,23580.42
642,23447.34,23314.69,23520.54,23285.6
643,23482.95,23451.62,23552.23,23422.72
644,23908.96,23700.16,23922.74,23671.51
645,23553.59,23853.63,23981.74,23530.8
646,23484.3,23613.49,23616.83,23396.17
647,23164.03,23535.41,23591.5,23128.72
648,22708.62,23035.64,23069.42,22668.02
649,22828.92,22752.55,22861.53,22446.67
650,23121.06,22920.29,23187.82,22899.58
651,22899.78,23037.03,23104.98,22881.16
